method,reward_mean,reward_std,reward_standard_error,reward_p10,reward_p90,log_ppl_ratio_mean,ppl_ratio_mean,latency_mean_seconds,latency_std_seconds,invalid_fraction,boundary_count_mean,boundary_count_p90,decision_seconds_total,decision_ms_per_channel,reward_gap_to_ppo,paired_reward_difference_vs_ppo_mean,paired_reward_difference_ci95_low,paired_reward_difference_ci95_high,paired_win_rate_vs_ppo
ppo_deterministic,-0.3838152289390564,0.0642332062125206,0.008092624135315418,-0.45325541496276855,-0.3493637442588806,0.20740142464637756,1.2352815382635187,0.7351279258728027,0.07658684253692627,0.0,2.0625,2.0,0.571319599999697,8.926868749995265,0.0,0.0,0.0,0.0,0.0
edge_shard_uav,-0.4240442216396332,0.028485912829637527,0.0035888878628611565,-0.4615846276283264,-0.38688597083091736,0.3150482773780823,1.3723175117021111,0.6994509696960449,0.011280564591288567,0.0,2.0,2.0,15.171039900000324,237.04749843750506,-0.04022899270057678,-0.04022902250289917,-0.057752713561058044,-0.022705333307385445,0.15625
hexgen_inspired,-0.37292563915252686,0.020844455808401108,0.0026261545717716217,-0.40248873829841614,-0.34987157583236694,0.2049049437046051,1.2282542339824294,0.7098253965377808,0.015297546051442623,0.0,2.0,2.0,52.533326499993564,820.8332265623994,0.010889589786529541,0.010889573954045773,-0.004879298619925976,0.026658445596694946,0.296875
lingualinked_uav,-0.5443345904350281,0.03052016906440258,0.0038451796863228083,-0.5869923233985901,-0.5118025541305542,0.31388306617736816,1.3702083146947457,1.0166679620742798,0.02199021726846695,0.0,3.0,3.0,45.60385560001305,712.5602437502039,-0.16051936149597168,-0.16051936149597168,-0.17572514712810516,-0.1453135758638382,0.0625
jointdnn_multi_uav,-0.3986467719078064,0.02329033426940441,0.002934306161478162,-0.4259744882583618,-0.37267181277275085,0.26102516055107117,1.2999059074825552,0.7036869525909424,0.01701825112104416,0.0,2.0,2.0,111.87673530000029,1748.0739890625046,-0.01483154296875,-0.014831554144620895,-0.032614223659038544,0.0029511135071516037,0.15625
pipeedge_uav_latency,-0.4318869113922119,0.03595688194036484,0.00453014113008976,-0.4765240252017975,-0.3962244987487793,0.33029890060424805,1.3946436361060757,0.7000215649604797,0.011889957822859287,0.0,2.0,2.0,6.92338719998952,108.17792499983625,-0.04807168245315552,-0.0480717271566391,-0.0659499540925026,-0.030193502083420753,0.15625
petals_balanced,-0.8025239706039429,0.08773535490036011,0.011053615249693394,-0.9050600528717041,-0.714181661605835,0.5310856699943542,1.7225442992882964,1.4092442989349365,0.03762073814868927,0.0,4.0,4.0,7.2816177000058815,113.7752765625919,-0.4187087416648865,-0.4187086820602417,-0.4447534680366516,-0.3926638960838318,0.0
neurosurgeon_inspired,-0.3881787359714508,0.018676772713661194,0.0023530523758381605,-0.4169232249259949,-0.366092324256897,0.23836559057235718,1.270108223517334,0.7059484720230103,0.018848417326807976,0.0,2.0,2.0,12.649013900008867,197.64084218763855,-0.004363507032394409,-0.004363498650491238,-0.020974051207304,0.0122470548376441,0.171875
simulated_annealing,-0.37388062477111816,0.016694651916623116,0.002103328239172697,-0.39365971088409424,-0.3538999557495117,0.20351161062717438,1.2263098588240435,0.7141599655151367,0.017747875303030014,0.0,2.0,2.0,168.59670809999807,2634.32356406247,0.009934604167938232,0.009934591129422188,-0.005966221913695335,0.02583540417253971,0.265625
random_feasible,-3.477950096130371,2.1918842792510986,0.2761514484882355,-6.73264217376709,-0.9327419400215149,2.8388047218322754,127.66368346271595,5.402419090270996,3.549375057220459,0.0,8.46875,13.700000000000003,0.5563189000095008,8.69248281264845,-3.0941348671913147,-3.094135046005249,-3.634769916534424,-2.553500175476074,0.015625
